Job id,companyId,title,contractType,Companyname,city,state,sector,viewscount,applicationsCount,dateposted
4126528742,5250800,"Data Engineer, L/S Equity",Full-time,Point72,Florida, United States,Financial Services,677,200,04/02/25
4132131854,18722039,Data Engineer,Full-time,Canary Technologies,United States, United States,Hospitality,896,200,04/02/25
4125548060,101021,Data Engineer,Full-time,Elder Research,United States, United States,IT Services and IT Consulting,609,200,04/02/25
4128220538,1742506,Data Engineer,Contract,INSPYR Solutions,Vienna, VA,Banking and Financial Services,634,200,04/02/25
4136795880,77837310,Data Engineer,Full-time,Camlin Group,Norcross, GA,"Services for Renewable Energy, Appliances, Electrical, and Electronics Manufacturing, and Technology, Information and Media",790,200,04/02/25
4127595520,27007409,Data Engineer,Full-time,Aureon Consulting,Des Moines Metropolitan Area,IO,Financial Services and Insurance,507,200,04/02/25
4147411881,18104003,AWS Data Engineer,Full-time,LSG Sky Chefs,Irving, TX,Food and Beverage Manufacturing,678,200,04/02/25
4105081018,15901706,Data Engineer,Full-time,Compass Health Center,Northbrook, IL,Mental Health Care,972,200,04/02/25
4119047235,102017555,Data Engineer,Full-time,SIDRAM TECHNOLOGIES,Charlotte, NC,"Technology, Information and Internet",620,200,04/02/25
4125060554,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,627,30,04/02/25
4046336836,11070,Data Engineer,Full-time,Ryan,Dallas, TX,Financial Services,200,122,04/02/25
4130843721,7556,Data Engineer III,Full-time,Sam's Club,Sunnyvale, CA,Retail,572,200,04/02/25
4127592723,164711,Data Engineer II,Full-time,Lennar,Irving, TX,Real Estate,754,200,04/02/25
4118836224,165158,"Software Engineer L4/L5 - Data and Feature Infrastructure, Machine Learning Platform",Full-time,Netflix,Los Gatos, CA,Entertainment Providers,897,200,04/02/25
4111225263,1469436,Data Engineer,Full-time,Omitron Inc.,Melbourne, FL,Defense & Space,789,144,04/02/25
4125067664,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,742,25,04/02/25
4125058810,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,742,25,04/02/25
4129678250,164518,Data Engineer I,Full-time,Jackson,Nashville, TN,Financial Services and Insurance,503,200,04/02/25
4122914153,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,812,63,04/02/25
4145711967,2829078,Data Engineer (Remote),Full-time,RxAnte,Portland, ME,IT Services and IT Consulting,522,128,04/02/25
4092101330,66321745,Junior Level Data Engineer,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,665,25,04/02/25
4149218666,856702,Data Engineer,Full-time,RightClick,Fairfield County, CT,Software Development,730,200,04/02/25
4124947687,2815,Jr. Data Engineer,Full-time,Aramark,Philadelphia, PA,Hospitality,911,200,04/02/25
4139736588,101021,Data Engineer,Full-time,Elder Research,United States, United States,IT Services and IT Consulting,876,200,04/02/25
4048812851,93246786,Data Engineer,Contract,Accroid Inc,Jersey City, NJ,IT Services and IT Consulting,798,152,04/02/25
4099386336,100690228,Data Engineer,Contract,YO IT CONSULTING,Glendale, CA,"Technology, Information and Internet",944,35,04/02/25
4085437538,22688,"Data Engineer Intern, 2025 Summer U.S.",Full-time,Atlassian,Austin, TX,Software Development,528,200,04/02/25
4109240840,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,517,64,04/02/25
4150342086,1337,Senior Software Engineer,Full-time,LinkedIn,Mountain View, CA,"Technology, Information and Internet and IT Services and IT Consulting",542,200,04/02/25
4135299641,89936203,Data Engineer (Summer 2025 Intern),Full-time,Meetsta,United States, United States,Software Development,876,200,04/02/25
4120829089,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",543,25,04/02/25
4137001696,40655225,Data Engineer,Full-time,Omega Holdings,Irving, TX,Motor Vehicle Manufacturing,677,200,04/02/25
4146189911,99080702,Data Engineer,Full-time,TIFIN AG,Charlotte, NC,Financial Services,560,200,04/02/25
4013205397,93246786,Data Engineer,Contract,Accroid Inc,Jersey City, NJ,IT Services and IT Consulting,729,200,04/02/25
4125062348,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,763,25,04/02/25
4120825489,10667,"Data Engineer, Product Analytics",Full-time,Meta,New York, NY,"Technology, Information and Internet",876,25,04/02/25
4079998263,2833966,Data Engineer,Contract,TekSalt Solutions,Charlotte, NC,IT Services and IT Consulting,200,200,04/02/25
4144495420,36232,Data Engineer,Contract,KellyMitchell Group,Orlando, FL,IT Services and IT Consulting,876,200,04/02/25
4045411332,66321745,Junior Data engineer,Full-time,SynergisticIT,Illinois, United States,IT Services and IT Consulting,528,25,04/02/25
4123387824,15691,Data Engineer,Full-time,Interstate Batteries,Dallas, TX,Manufacturing,958,200,04/02/25
4119563821,15249661,Data Engineer,Full-time,The California State University,San Jose, CA,Higher Education,609,200,04/02/25
3980082352,78445528,Data engineer,Contract,PRO IT USA,New York, NY,Human Resources,200,200,04/02/25
4145108435,74012521,Data Engineer,Full-time,Evio,United States, United States,"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",808,52,04/02/25
4147274440,136203,Data Engineer,Contract,Droisys,United States, United States,Software Development,678,200,04/02/25
4152199087,22456,Senior Data Engineer,Full-time,Beacon Hill,Frankford, NJ,Data Infrastructure and Analytics,678,200,04/02/25
4139142257,2289109,"Data Engineer, Analytics (Technical Leadership)",Full-time,Instagram,New York, NY,"Technology, Information and Internet",560,25,04/02/25
4125057967,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,901,25,04/02/25
4137559516,7577299,Data Engineer,Full-time,Wider Circle,United States, United States,IT Services and IT Consulting,677,200,04/02/25
3970352584,3650502,Data Engineer,Full-time,Figma,New York, NY,Design Services,802,200,04/02/25
4125067236,11300833,Data Engineer,Full-time,CGS Federal (Contact Government Services),Los Angeles, CA,Software Development,838,25,04/02/25
4052363228,66321745,Junior Data Engineer,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,508,152,04/02/25
4117851033,523382,Data Engineer,Full-time,INVISTA,Wichita, KS,Chemical Manufacturing,511,200,04/02/25
4118311237,66321745,Data Engineer - Junior,Contract,SynergisticIT,Illinois, United States,IT Services and IT Consulting,609,111,04/02/25
4143623537,11028146,Data Engineer,Full-time,MotoRad Ltd.,Roswell, GA,Motor Vehicle Manufacturing,953,200,04/02/25
