companyId,companyName,companyUrl,location,sector
1742506.0,INSPYR Solutions,https://www.linkedin.com/company/inspyrsolutions?trk=public_jobs_topcard-org-name,"Vienna, VA",Banking and Financial Services
77837310.0,Camlin Group,https://uk.linkedin.com/company/camlin-groupcom?trk=public_jobs_topcard-org-name,"Norcross, GA","Services for Renewable Energy, Appliances, Electrical, and Electronics Manufacturing, and Technology, Information and Media"
27007409.0,Aureon Consulting,https://www.linkedin.com/company/aureon-consulting1?trk=public_jobs_topcard-org-name,Des Moines Metropolitan Area,Financial Services and Insurance
18104003.0,LSG Sky Chefs,https://de.linkedin.com/company/lsg-sky-chefs?trk=public_jobs_topcard-org-name,"Irving, TX",Food and Beverage Manufacturing
15901706.0,Compass Health Center,https://www.linkedin.com/company/compasshealthcenter?trk=public_jobs_topcard-org-name,"Northbrook, IL",Mental Health Care
102017555.0,SIDRAM TECHNOLOGIES,https://www.linkedin.com/company/sidram-tech?trk=public_jobs_topcard-org-name,"Charlotte, NC","Technology, Information and Internet"
11070.0,Ryan,https://www.linkedin.com/company/ryan?trk=public_jobs_topcard-org-name,"Dallas, TX",Financial Services
7556.0,Sam's Club,https://www.linkedin.com/company/sam's-club?trk=public_jobs_topcard-org-name,"Sunnyvale, CA",Retail
164711.0,Lennar,https://www.linkedin.com/company/lennar?trk=public_jobs_topcard-org-name,"Irving, TX",Real Estate
1469436.0,Omitron Inc.,https://www.linkedin.com/company/omitron-inc-?trk=public_jobs_topcard-org-name,"Melbourne, FL",Defense & Space
2829078.0,RxAnte,https://www.linkedin.com/company/rxante-inc-?trk=public_jobs_topcard-org-name,"Portland, ME",IT Services and IT Consulting
856702.0,RightClick,https://www.linkedin.com/company/rightclick?trk=public_jobs_topcard-org-name,"Fairfield County, CT",Software Development
2815.0,Aramark,https://www.linkedin.com/company/aramark?trk=public_jobs_topcard-org-name,"Philadelphia, PA",Hospitality
100690228.0,YO IT CONSULTING,https://www.linkedin.com/company/yoitconsulting?trk=public_jobs_topcard-org-name,"Glendale, CA","Technology, Information and Internet"
89936203.0,Meetsta,https://www.linkedin.com/company/meetsta?trk=public_jobs_topcard-org-name,United States,Software Development
40655225.0,Omega Holdings,https://www.linkedin.com/company/omegaholdings?trk=public_jobs_topcard-org-name,"Irving, TX",Motor Vehicle Manufacturing
99080702.0,TIFIN AG,https://www.linkedin.com/company/tifin-ag?trk=public_jobs_topcard-org-name,"Charlotte, NC",Financial Services
2833966.0,TekSalt Solutions,https://www.linkedin.com/company/teksalt?trk=public_jobs_topcard-org-name,"Charlotte, NC",IT Services and IT Consulting
